SciName,Taxonomy,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
Acacia pennata,Climber Vine,609017,0,0,1,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,120,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609019,0,0,1,0,1,0,0,850,0,0,0,0,0,85,10,850,0,0,0,10,Stable,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609020,0,0,1,0,1,0,0,385,0,0,0,0,0,77,5,385,0,0,0,30,Stable,0,0,NA,1,0,0,0,0,0,1,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609020,1,0,1,0,2,15,0,15,0,3.75,0,3.75,0,3,10,30,2000,0.25,7.5,30,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,30,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,3.75,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609021,1,0,1,0,2,155,0,155,0,77.5,0,77.5,0,62,5,310,4000,0.5,155,40,Decrease,30,-30,NA,0,0,1,0,0,0,1,0,0,310,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,77.5,0,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609023,1,0,1,0,2,240,0,240,0,300,0,300,0,48,10,480,10000,1.25,600,20,Increase,20,20,NA,1,0,0,0,0,0,1,480,0,0,0,0,0,600,0,0,0,0,0,300,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609026,1,0,1,0,2,19,0,19,0,23.75,0,23.75,0,38,1,38,10000,1.25,47.5,30,Stable,0,0,NA,1,0,0,0,0,0,1,38,0,0,0,0,0,47.5,0,0,0,0,0,23.75,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609029,1,0,1,0,2,185,0,185,0,115.625,0,115.625,0,74,5,370,5000,0.625,231.25,60,Increase,10,10,NA,0,1,0,0,0,0,1,0,370,0,0,0,0,0,231.3,0,0,0,0,0,0,0,0,115.65,0,115.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609030,1,0,1,0,2,20,0,20,0,7.5,0,7.5,0,20,2,40,3000,0.375,15,60,Stable,0,0,not change,1,0,0,0,0,0,1,40,0,0,0,0,0,15,0,0,0,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609031,0,0,1,0,1,0,0,62,0,0,0,0,0,62,1,62,0,0,0,20,Stable,0,0,NA,0,1,0,0,0,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609036,1,0,1,0,2,485,0,485,0,0,0,0,0,97,10,970,0,0,0,30,Stable,0,0,NA,1,0,0,0,0,0,1,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609038,0,0,1,0,1,0,0,66,0,0,0,0,0,66,1,66,0,0,0,30,Stable,0,0,not change,1,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609039,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,60,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia sp.,Climber Vine,609040,0,0,1,1,2,0,0,2.4,2.4,0,0,0,0,48,0.1,4.8,0,0,0,5,Stable,0,0,NA,0,0,0,0,0,1,1,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609041,0,0,1,0,1,0,0,68,0,0,0,0,0,34,2,68,0,0,0,10,Stable,0,0,not change,1,0,0,0,0,0,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609042,0,0,1,0,1,0,0,155,0,0,0,0,0,31,5,155,0,0,0,60,Increase,80,80,NA,1,0,0,0,0,0,1,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609043,0,0,1,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,60,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609044,1,0,1,0,2,31,0,31,0,38.75,0,38.75,0,62,1,62,10000,1.25,77.5,60,Stable,0,0,NA,1,0,0,0,0,0,1,62,0,0,0,0,0,77.5,0,0,0,0,0,38.75,0,38.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609046,0,0,1,0,1,0,0,62,0,0,0,0,0,62,1,62,0,0,0,10,Stable,0,0,NA,1,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609046,0,0,1,0,1,0,0,1240,0,0,0,0,0,62,20,1240,0,0,0,5,Stable,0,0,NA,1,0,0,0,0,0,1,1240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609047,1,0,1,0,2,535,0,535,0,1337.5,0,1337.5,0,107,10,1070,20000,2.5,2675,30,Increase,10,10,NA,1,1,0,0,0,0,2,535,535,0,0,0,0,1337.5,1337.5,0,0,0,0,668.75,0,668.75,0,668.75,0,668.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609047,0,0,1,1,2,0,0,53.5,53.5,0,0,0,0,107,1,107,0,0,0,30,Stable,0,0,NA,0,0,0,1,0,1,2,0,0,0,53.5,0,53.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609049,1,0,1,0,2,67.5,0,67.5,0,253.125,0,253.125,0,45,3,135,30000,3.75,506.25,20,Decrease,30,-30,NA,1,0,0,0,0,0,1,135,0,0,0,0,0,506.3,0,0,0,0,0,253.15,0,253.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609050,0,0,1,0,1,0,0,50,0,0,0,0,0,50,1,50,0,0,0,30,Stable,0,0,not change,1,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609053,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,60,Stable,0,0,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609055,1,0,1,0,2,180,0,180,0,225,0,225,0,72,5,360,10000,1.25,450,30,Stable,0,0,NA,1,0,0,0,0,0,1,360,0,0,0,0,0,450,0,0,0,0,0,225,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609055,1,0,1,0,2,180,0,180,0,45,0,45,0,72,5,360,2000,0.25,90,30,Stable,0,0,NA,1,0,0,0,0,0,1,360,0,0,0,0,0,90,0,0,0,0,0,45,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia pennata,Climber Vine,609056,1,0,1,0,2,360,0,360,0,225,0,225,0,72,10,720,5000,0.625,450,20,Stable,0,0,NA,1,0,0,0,0,0,1,720,0,0,0,0,0,450,0,0,0,0,0,225,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia concinna,Climber Vine,609059,1,0,1,0,2,0,0,0,0,0,0,0,0,77,0,0,2000,0.25,0,30,Stable,0,0,NA,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
