SciName,Taxon,Vil_Code,sell,use,food,medicine,No_HH,Unit,Qty_p_HH,Qty,Income_USD,Forest,Riparian,bamboo,bush_fallow,upland_field,others
Piper interitum,Vines,609064,0,0,1,0,58,????,2,116,0,1,0,0,0,0,0
Piper interitum,Vines,609066,0,0,1,0,66,????,1,66,0,1,0,0,0,0,0
Piper interitum,Vines,609069,0,0,1,0,54,NA,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,609071,0,0,1,0,50,????,2,100,0,1,0,0,0,0,0
Piper interitum,Vines,609074,1,0,1,0,10,????,5,50,31.25,1,0,0,0,0,0
Piper interitum,Vines,609075,0,0,1,0,44,NA,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,609077,1,0,1,0,68,????,5,340,127.5,1,0,0,0,0,0
Piper interitum,Vines,609078,0,0,1,0,43,????,1,43,0,1,0,0,0,0,0
Piper interitum,Vines,609080,1,0,1,0,92,????,20,1840,460,1,0,0,0,0,0
Piper interitum,Vines,609081,0,0,1,0,76,????,1,76,0,0,0,0,1,0,0
Piper interitum,Vines,609082,0,0,1,0,56,????,0,0,0,0,1,0,0,0,0
Piper interitum,Vines,609083,1,0,1,0,84,????,6,504,189,1,0,0,0,0,0
Piper interitum,Vines,609085,0,0,1,0,103,????,2,206,0,1,0,0,0,0,0
Piper interitum,Vines,609094,0,0,1,0,62,????,1,62,0,1,1,0,0,0,0
Piper interitum,Vines,609096,0,0,1,0,22,????,1,22,0,0,0,0,1,0,0
Piper interitum,Vines,609097,0,0,1,0,48,????,5,240,0,1,0,0,0,0,0
Piper interitum,Vines,609098,0,0,1,0,10,????,0.5,5,0,1,0,0,0,0,0
Piper interitum,Vines,609999,0,0,1,0,58,????,2,116,0,0,1,0,0,0,0
Piper interitum,Vines,906001,0,0,1,0,170,????,0.5,85,0,1,0,0,0,0,0
Piper interitum,Vines,906003,0,0,1,0,90,????,0.5,45,0,1,0,0,0,0,0
Piper interitum,Vines,906006,0,0,1,0,90,????,0.66,59.4,0,1,0,0,0,0,0
Piper interitum,Vines,906009,0,0,1,0,15,????,0.3,4.5,0,1,0,0,0,0,0
Piper interitum,Vines,906029,0,1,0,1,30,????,1,30,0,1,0,0,0,0,0
Piper interitum,Vines,906033,0,1,0,0,70,????,3,210,0,1,0,0,0,0,0
Piper interitum,Vines,906038,0,0,1,0,45,????,1,45,0,1,0,0,0,0,0
Piper interitum,Vines,605054,1,0,1,0,90,????,20,1800,900,1,0,0,0,0,0
Piper interitum,Vines,603018,0,1,1,0,30,????,0.5,15,0,1,0,0,0,0,0
Piper interitum,Vines,603021,0,1,1,0,100,????,1,100,0,1,0,0,0,0,0
Piper interitum,Vines,611024,0,1,1,0,46,????,1,46,0,1,0,0,0,0,0
Piper interitum,Vines,611058,0,1,1,0,10,????,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,611055,0,0,1,0,48,????,2,102,63.75,1,0,0,0,0,0
Piper interitum,Vines,612004,0,0,1,0,63,????,2,126,0,0,0,0,1,0,0
Piper interitum,Vines,612010,0,0,1,0,56,????,1,56,0,1,0,0,0,0,0
Piper interitum,Vines,612031,0,0,1,0,58,????,5,290,0,0,1,0,0,0,0
Piper interitum,Vines,612003,0,0,1,0,20,????,1,20,0,1,0,0,0,0,0
Piper interitum,Vines,612029,0,0,0,0,,NA,0,0,0,1,0,0,0,0,0
Piper interitum,Vines,612023,0,0,1,0,64,???,3,192,0,1,0,0,0,0,0
Piper interitum,Vines,605056,1,0,1,0,74,kg,2,148,55.5,0,0,0,0,0,0
Piper boehmeriafolium,Vines,906002,0,1,1,0,111,????,3,333,0,0,1,0,0,0,0
Piper boehmeriafolium,Vines,906009,0,0,0,1,10,????,5,50,0,1,0,0,0,0,0
Piper boehmeriafolium,Vines,612011,1,1,1,0,140,????,5,700,175,1,0,0,0,0,0
Passiflora sp.,Vines,906009,0,0,0,1,5,????,0.3,1.5,0,1,0,0,0,0,0
Passiflora foetida,Vines,609043,0,0,1,0,71,NA,0,0,0,0,0,0,1,0,0
Passiflora foetida,Vines,609085,0,0,1,0,103,????,2,206,0,0,0,0,1,0,0
Passiflora foetida,Vines,906006,0,0,0,1,90,????,0,0,0,1,0,0,0,0,0
Passiflora foetida,Vines,906006,0,0,1,0,87,????,0.5,43.5,0,1,0,0,0,0,0
Passiflora foetida,Vines,906009,0,0,0,1,20,????,1,5,0,1,0,0,0,0,0
Passiflora foetida,Vines,906019,0,0,1,0,144,????????,2,288,0,1,0,0,0,0,0
Passiflora foetida,Vines,1702020,0,0,1,0,186,????,8,1488,1302,1,1,0,0,0,0
Passiflora foetida,Vines,1702021,1,0,1,0,200,????,30,6000,3750,1,1,0,0,0,0
Passiflora foetida,Vines,1501016,0,0,1,0,86,????,3,258,0,0,0,0,0,0,0
Passiflora foetida,Vines,1501043,0,0,1,0,110,????,3,330,0,0,0,0,0,0,0
Passiflora foetida,Vines,1501044,0,0,1,0,116,????,1,116,0,0,0,0,0,0,0
Passiflora foetida,Vines,1309112,1,0,1,1,50,kg,30,1500,937.5,0,0,0,0,0,0
