ID,NTFP_Cleaned,SpecialNTFP,other lao names,Scientific_Name_Cleaned,Hmong,Khamu,Vil_Code,Type_la_030413,Scientific_Name_030413,Cleaned NTFP type polished round 2,Sounthone _chris 30 March,sell,use,food,medicin,No_HH,Unit,Qty_per_HH,Qty_All,Price_per_Unit,Price_All,Location_gathered_la,Time_Travel,Status_la,Status_en,Status_%,Reason_la,Reason_en,Palm,Palm1,Rattan,Rattan1,Trees,Trees1,Herb,Herb1,Shrubs,Shrubs1,Climber_Vine,Climber_Vine1,Monocot,Monocot1,Fungi,Fungi1,Tuber_limber,Tuber_limber1,Insects,Insects1,Orchid,Orchid1,Mushroom,Mushroom1,Fern,Fern1,Check_Type,Forest_Type_la,Forest_Type_CF,Forest_Type2,not a forest type,not spec'd or classed,forest in general,Dense forest,Dense moist  forest,strem source f,cool moist F,Pah Khok,pine,pine mixed,riverine forest,beside stream,stream,mixed forest,chest nut,Bamboo,Pah Khang (mainly grass'd),grassland,bush fallow gen'l,Old bush fallow,Young bush fallow,upland field,paddy,wet land,Banana forest,termite soil,tree stumps,cliff,clifftop,Other specific nisches,Check_Forest,LastUpdated
2569,????????????????,,,Russula sp.,,,609051,????????????????,,????????????????,????????????????,1,1,1,0,100,????,6,600,15000,9000000,?????????,60,???????,Decrease,40,??????????????????????? ??? ?????????,forest fire,,,,,,,,,,,,,,,,,,,,,,,1,9000000,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
3319,???????,,,Termitomyces sp.,????????,,609074,???????,Termitomyces schimperi,???????,???????,1,0,1,0,172,????,20,600,30000,0,?????,90,????????,Not change,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
5973,??????????????,,,Dendrobium dixanthum,????????,??????????????,611058,,,,,1,0,0,0,30,????,20,600,3000,1800000,????????,60,???????,Decrease,50,???????????????,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,??????,,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
5976,???????????,,,Dendrobium fimbriatum,???????????,???????????????????,611058,,,,,1,0,0,0,30,????,20,600,5000,3000000,????????,60,???????,Decrease,50,???????????????,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,??????,,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
9892,????????,,,,,,701137,,,,,1,,1,,30,,20,600,1000,600000,?????????,10,??????,,5,"????????????,??????????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,?????????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-Dec-15
3484,?????????,,,Papilionanthe teres,???????,????????????,609077,?????????,Papilionanthe teres (Roxburgh) Schltr),?????????,?????????,1,0,0,0,15,????,40,600,15000,9000000,?????????,60,???????,Decrease,20,"??????????, ???",,,,,,,,,,,,,,,,,,,,,,1,9000000,,,,,1,??????,??????,??????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
5740,?????????,,,Smilax glabra,?????????,,605054,,,,,1,0,0,0,20,????,30,600,1500,900000,"???????????,?????????",30,???????,Decrease,90,????????????????????????????????,incorrect excavation,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,"??????,?????????",,"??????,?????????",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
5741,???????????,,,Tinospora sinensis (Lour.) Merr.,,,605054,,,,,1,0,0,0,20,????,30,600,25000,15000000,"???????????,?????????",30,?????????,Increase,40,???????????????????????????????,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,?????????,,?????????,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
4043,????,,,Broussonetia papyrifera,"?????,?????????????",?????,609094,????,Broussonetia papyrifera (L.) Ventenat,????,????,1,0,0,0,30,????,20,600,2500,1500000,???????????,120,???????,Decrease,50,????????????? ???????? ?????????????,,,,,,1,1500000,,,,,,,,,,,,,,,,,,,,,1,"??????, ???????","????????, ???????","?????????, ???????",,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,2,
2574,??????????????,,"(??????????,???????)",Phyllanthus emblica,??????????,,609051,???????????,Phyllanthus emblica L.,???????????,???????????,1,0,0,1,30,????,20,600,4000,2400000,??????,60,????????,Not change,0,,,,,,,1,2400000,,,,,,,,,,,,,,,,,,,,,1,??????,??????,??????,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,
