Vil_Code,Scientific_Name_Cleaned,Scientific_Genus_GB,sell,use,food,medicine,Qty_p_HH,Qty,Forest,Riparian,bamboo,bush_fallow,upland_field,others,PCODE,Pname,DCODE,Dname,KCODE,Kname,Vil_Name
207008,Nasturtium officinale,Herbs,1,1,0,0,3,216,0,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Castanopsis sp.,Trees,0,0,1,0,2,60,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Mangifera odorata,Trees,0,1,0,0,2,120,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Melientha suavis,Trees,0,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Diplazium esculentum,Fern,0,0,1,0,10,600,1,1,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Sinarundinaria microphylla,Bamboo,1,0,1,0,5,325,1,0,1,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Indosasa sinica,Bamboo,1,0,1,0,2,130,1,0,1,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Termitomyces indicus,Mushroom/Funghi,0,0,1,0,5,50,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Rhus chinensis,Trees,0,0,1,0,3,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Artocarpus Lacucha,Trees,0,1,0,0,2,10,1,0,1,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Anoectochilus lylei,Orchids,1,0,0,1,1,50,1,0,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Amomum villosum,Cardamom,1,0,0,1,5,225,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Gmelina arborea,Tree/Shrub,0,0,1,0,1,65,1,0,0,1,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Tinospora sinensis,Vines,0,0,0,0,5,150,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Centella asiatica,Herbs,0,0,1,0,1,40,1,1,0,0,0,1,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Calamus sp.,Peas,1,0,1,0,20,1440,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
207008,Russula rosacea,Mushroom/Funghi,1,0,1,0,10,650,1,0,0,0,0,0,2,Phongsali,207,BounTai,20701,Bountai,Sing say
