Vil_Code,Vil_Name,Taxon,all,forest,riparian,bamboo,bushfallow,uplandfield,others,Contrl,perc_forest,perc_ripar,perc_bamb,perc_bushf,perc_uplf,perc_oth
609050,B. Nakham,Legume,183,1,0,0,1,0,1,3,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333
609050,B. Nakham,Herbs,50,0,0,0,1,0,0,1,0,0,0,100,0,0
609050,B. Nakham,Vines,50,1,0,0,1,0,0,2,50,0,0,50,0,0
609050,B. Nakham,,25,1,0,0,2,0,0,3,33.3333333333333,0,0,66.6666666666667,0,0
609049,B. Naxaichaleun,Mushroom/Funghi,5406,12,0,2,7,0,10,31,38.7096774193548,0,6.45161290322581,22.5806451612903,0,32.258064516129
609049,B. Naxaichaleun,Bamboo,2780,1,0,3,0,0,0,4,25,0,75,0,0,0
609049,B. Naxaichaleun,Trees,1075,7,0,0,2,0,0,9,77.7777777777778,0,0,22.2222222222222,0,0
609049,B. Naxaichaleun,Herbs,765,1,2,0,1,0,0,4,25,50,0,25,0,0
609049,B. Naxaichaleun,Tree/Shrub,665,3,0,0,0,0,0,3,100,0,0,0,0,0
609049,B. Naxaichaleun,Vines,135,1,0,0,0,0,0,1,100,0,0,0,0,0
609049,B. Naxaichaleun,Bees,125,1,0,0,0,0,0,1,100,0,0,0,0,0
609049,B. Naxaichaleun,,90,0,1,0,0,0,0,1,0,100,0,0,0,0
609049,B. Naxaichaleun,Orchids,45,3,0,0,3,0,0,6,50,0,0,50,0,0
609047,B. Mouangkham,Mushroom/Funghi,8965,17,1,3,7,0,3,31,54.8387096774194,3.2258064516129,9.67741935483871,22.5806451612903,0,9.67741935483871
609047,B. Mouangkham,Trees,6114,3,0,0,2,0,1,6,50,0,0,33.3333333333333,0,16.6666666666667
609047,B. Mouangkham,Bamboo,4395,1,1,2,1,0,0,5,20,20,40,20,0,0
609047,B. Mouangkham,Tree/Shrub,1910,2,0,0,1,0,1,4,50,0,0,25,0,25
609047,B. Mouangkham,Herbs,1570,0,1,0,2,0,0,3,0,33.3333333333333,0,66.6666666666667,0,0
609047,B. Mouangkham,Vines,1537,3,1,0,4,0,2,10,30,10,0,40,0,20
609047,B. Mouangkham,,171,1,0,0,1,0,1,3,33.3333333333333,0,0,33.3333333333333,0,33.3333333333333
