"","Vil_Code","PCODE","Pname","DCODE","Dname","KCODE","Kname","Vil_Name","SciName","Taxonomy","sell","use","food","medicine","CHECK","Qty_sell","Qty_use","Qty_food","Qty_med","Inc_sell","Inc_use","Inc_food","Inc_medicine","No_HH","Qty_p_HH","Qty","PPU_LAK","PPU_USD","Income_USD","Time_Travel","Status_en","Status_rel","Status_abs","Reason_en","Forest","Riparian","bamboo","bush_fallow","upland_field","others","CHECK_2","Qty_For","Qty_Rip","Qty_Bam","Qty_Bfa","Qty_UpF","Qty_Oth","Inc_For","Inc_Rip","Inc_Bam","Inc_Bfa","Inc_UpF","Inc_Oth","For_sell_inc","For_use_inc","For_food_inc","For_med_inc","Rip_sell_inc","Rip_use_inc","Rip_food_inc","Rip_med_inc","bam_sell_inc","Bam_use_inc","Bam_food_inc","Bam_med_inc","Bfa_sell_inc","Bfa_use_inc","Bfa_food_inc","Bfa_med_inc","UpF_sell_inc","UpF_use_inc","UpF_food_inc","UpF_med_inc","Oth_sell_inc","Oth_use_inc","Oth_food_inc","Oth_med_inc"
"13",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Dendrocalamus hamiltonii","Bamboo",1,1,1,0,3,333.3,333.3,333.3,0,416.625,416.625,416.625,0,50,20,1000,10000,1.25,1250,"120",NA,30,30,NA,1,0,1,0,0,0,2,500,0,500,0,0,0,625,0,625,0,0,0,208.3333333,208.3333333,208.3333333,0,0,0,0,0,208.3333333,208.3333333,208.3333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Bischofia javanica","Tree",1,0,1,0,2,2500,0,2500,0,312.5,0,312.5,0,100,50,5000,1000,0.125,625,"20",NA,30,30,NA,1,0,0,0,0,0,1,5000,0,0,0,0,0,625,0,0,0,0,0,312.5,0,312.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Alpinia galanga","Herb (bulbiferous)",1,0,1,0,2,100,0,100,0,187.5,0,187.5,0,10,20,200,15000,1.875,375,"60",NA,80,80,NA,1,0,0,0,0,0,1,200,0,0,0,0,0,375,0,0,0,0,0,187.5,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Piper sarmentosum","Vine",1,0,1,0,2,25,0,25,0,3.125,0,3.125,0,50,1,50,1000,0.125,6.25,"20",NA,50,50,NA,0,1,0,0,0,0,1,0,50,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Termitomyces indicus","Mushroom/Funghi",1,0,1,0,2,5,0,5,0,3.125,0,3.125,0,10,1,10,5000,0.625,6.25,"30",NA,40,40,NA,1,0,0,0,0,0,1,10,0,0,0,0,0,6.3,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Tinospora sinensis","Vine",1,0,0,0,1,9,0,0,0,5.625,0,0,0,3,3,9,5000,0.625,5.625,"30",NA,50,50,NA,1,0,0,0,0,0,1,9,0,0,0,0,0,5.6,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong",NA,"",1,0,0,0,1,30,0,0,0,22.5,0,0,0,3,10,30,6000,0.75,22.5,"120",NA,50,50,NA,1,0,0,0,0,0,1,30,0,0,0,0,0,22.5,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Calamus sp.","Pea",1,1,1,0,3,33.3,33.3,33.3,0,20.8125,20.8125,20.8125,0,20,5,100,5000,0.625,62.5,"180",NA,50,50,NA,1,0,0,0,0,0,1,100,0,0,0,0,0,62.5,0,0,0,0,0,20.83333333,20.83333333,20.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Russula densifolia","Mushroom/Funghi",1,0,1,0,2,25,0,25,0,31.25,0,31.25,0,10,5,50,10000,1.25,62.5,"240",NA,30,30,NA,1,1,1,0,0,1,4,12.5,12.5,12.5,0,0,12.5,15.6,15.6,15.6,0,0,15.6,7.8,0,7.8,0,7.8,0,7.8,0,7.8,0,7.8,0,0,0,0,0,0,0,0,0,7.8,0,7.8,0
"22",207001,2,"Phongsali",207,"BounTai",20701,"Bountai","Phou thong","Phyllanthus emblica","Tree/Shrub",1,0,1,0,2,750,0,750,0,187.5,0,187.5,0,50,30,1500,2000,0.25,375,"30",NA,40,40,NA,1,0,0,1,0,0,2,750,0,0,750,0,0,187.5,0,0,187.5,0,0,93.75,0,93.75,0,0,0,0,0,0,0,0,0,93.75,0,93.75,0,0,0,0,0,0,0,0,0
