Vil_Code,PCODE,Pname,DCODE,Dname,Vil_Name,Scientific_Name_Cleaned,Qty_All
605056,6,Louangphabang,605,Nambak,B. Houayhar,Thysanolaena maxima,1480
605056,6,Louangphabang,605,Nambak,B. Houayhar,,740
605056,6,Louangphabang,605,Nambak,B. Houayhar,,740
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Thysanolaena maxima,13200
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Dendrocalamus hamiltonii,6600
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Dendrocalamus brandisii,6600
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Indosasa sindica,5280
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Bambusa sp.,5280
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,,3960
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,,3960
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,Schizostachyum blumei,3960
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,,2640
605057,6,Louangphabang,605,Nambak,B. Nagnangtay,,2640
605058,6,Louangphabang,605,Nambak,B. Houayyan,Thysanolaena maxima,33600
605058,6,Louangphabang,605,Nambak,B. Houayyan,,5600
605058,6,Louangphabang,605,Nambak,B. Houayyan,,4480
605058,6,Louangphabang,605,Nambak,B. Houayyan,,2240
605058,6,Louangphabang,605,Nambak,B. Houayyan,,2240
605058,6,Louangphabang,605,Nambak,B. Houayyan,,2240
605058,6,Louangphabang,605,Nambak,B. Houayyan,,1680
605058,6,Louangphabang,605,Nambak,B. Houayyan,,1680
605058,6,Louangphabang,605,Nambak,B. Houayyan,Indosasa sindica,1120
605058,6,Louangphabang,605,Nambak,B. Houayyan,,1120
605066,6,Louangphabang,605,Nambak,B. Markphouk,Daemonorops jenkinsiana,3500
605066,6,Louangphabang,605,Nambak,B. Markphouk,Indosasa sindica,3500
605066,6,Louangphabang,605,Nambak,B. Markphouk,Alpinia sp.,2400
605066,6,Louangphabang,605,Nambak,B. Markphouk,Boehmeria sp,1500
605066,6,Louangphabang,605,Nambak,B. Markphouk,Calamus viminalis,1400
605066,6,Louangphabang,605,Nambak,B. Markphouk,Thysanolaena maxima,1130
605066,6,Louangphabang,605,Nambak,B. Markphouk,Sinarundinaria microphylla,1130
605066,6,Louangphabang,605,Nambak,B. Markphouk,Styrax tonkinensis,1050
605066,6,Louangphabang,605,Nambak,B. Markphouk,Smilax glabra,1000
605066,6,Louangphabang,605,Nambak,B. Markphouk,Bambusa sp.,500
605067,6,Louangphabang,605,Nambak,B. Xongjar,,1800000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Indosasa sindica,75000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Dendrocalamus hamiltonii,33150
605067,6,Louangphabang,605,Nambak,B. Xongjar,Phyllostachys sp.,22500
605067,6,Louangphabang,605,Nambak,B. Xongjar,Boehmeria sp,12000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Alpinia sp.,10000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Diplazium esculentum,5000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Auricularia polytricha,4420
605067,6,Louangphabang,605,Nambak,B. Xongjar,Ficus sp.,4000
605067,6,Louangphabang,605,Nambak,B. Xongjar,Termitomyces striatus (Beeli) R. Heim,3315
605092,6,Louangphabang,605,Nambak,B. Phouker,Phyllostachys sp.,4200
605092,6,Louangphabang,605,Nambak,B. Phouker,Phoenix loureiroi Kunth,3500
605092,6,Louangphabang,605,Nambak,B. Phouker,Indosasa sindica,2100
605092,6,Louangphabang,605,Nambak,B. Phouker,Broussonetia papyrifera,1750
605092,6,Louangphabang,605,Nambak,B. Phouker,Termitomyces robustus (Berk.) Heim,1575
605092,6,Louangphabang,605,Nambak,B. Phouker,Dendrocalamus hamiltonii,1400
605092,6,Louangphabang,605,Nambak,B. Phouker,Phyllostachys sp.,1400
605092,6,Louangphabang,605,Nambak,B. Phouker,Sterculia lanceolata Cavalier,1050
605092,6,Louangphabang,605,Nambak,B. Phouker,Termitomyces striatus (Beeli) R. Heim,1050
605092,6,Louangphabang,605,Nambak,B. Phouker,Lentinus squarrosulus,700
605093,6,Louangphabang,605,Nambak,B. Longjork,,5300
605093,6,Louangphabang,605,Nambak,B. Longjork,Alpinia roxburghii,2650
605093,6,Louangphabang,605,Nambak,B. Longjork,Thysanolaena maxima,2650
605093,6,Louangphabang,605,Nambak,B. Longjork,Calamus sp.,2650
605093,6,Louangphabang,605,Nambak,B. Longjork,Indosasa sindica,2650
605093,6,Louangphabang,605,Nambak,B. Longjork,Phyllostachys sp.,1590
605093,6,Louangphabang,605,Nambak,B. Longjork,Sinarundinaria microphylla,1060
605093,6,Louangphabang,605,Nambak,B. Longjork,Dendrocalamus bamiltonii,1060
605093,6,Louangphabang,605,Nambak,B. Longjork,Broussonetia papyrifera,795
605093,6,Louangphabang,605,Nambak,B. Longjork,Camellia sp.,795
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Indosasa sindica,10400
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Calamus viminalis,10400
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Smilax glabra,8400
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Phyllostachys sp.,5200
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Daemonorops jenkinsiana,5200
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Boehmeria sp,4000
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Sinarundinaria microphylla,2600
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Livistona saribus,2600
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Schizostachyum sp.,2600
605095,6,Louangphabang,605,Nambak,B. Kiewjaly,Schizostachyum blumei,2600
605165,6,Louangphabang,605,Nambak,Lak 50,Indosasa sindica,9000
605165,6,Louangphabang,605,Nambak,Lak 50,Amomum sp.,6000
605165,6,Louangphabang,605,Nambak,Lak 50,Dendrocalamus hamiltonii,3000
605165,6,Louangphabang,605,Nambak,Lak 50,Daemonorops jenkinsiana,3000
605165,6,Louangphabang,605,Nambak,Lak 50,Passifloria sp.,1800
605165,6,Louangphabang,605,Nambak,Lak 50,Baccaurea ramiflora,1800
605165,6,Louangphabang,605,Nambak,Lak 50,Alpinia sp.,900
605165,6,Louangphabang,605,Nambak,Lak 50,Termitomyces sp.,600
605165,6,Louangphabang,605,Nambak,Lak 50,,600
605165,6,Louangphabang,605,Nambak,Lak 50,Dimocarpus sp.,300
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Amorphophallus sp,11360
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Calamus sp.,6000
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Amorphophallus kerrii,3550
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Dendrobium dixanthum,2950
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Bambusa yulda,2130
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Worm of Spondias cytherea,2130
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Gigantochloa albociliata,2130
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Gastrochilus bellinus,2040
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Dendrocalamus membranaceus,1420
608011,6,Louangphabang,608,Phonxai,B. Naphieng,Mangifera lagenifera,1420
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Thysanolaena maxima,4300
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Boehmeria sp,1290
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Dendrocalamus hamiltonii,860
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Musa acuminata,860
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Amorphophallus kerrii,860
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Amorphophallus kerrii,860
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Sinarundinaria microphylla,850
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Calamus sp.,688
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Gigantochloa albociliata,688
608012,6,Louangphabang,608,Phonxai,B. Houaydong,Arenga westerhoutii,430
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Arenga westerhoutii,43400
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Dendrocalamus hamiltonii,32550
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Amorphophallus kerrii,10850
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Sinarundinaria microphylla,10850
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Phyllostachys sp.,10850
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Arenga westerhoutii,8680
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Broussonetia papyrifera,6510
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Musa acuminata,6510
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Russula sp.,6510
608013,6,Louangphabang,608,Phonxai,B. Chomchieng,Calamus sp.,4340
608035,6,Louangphabang,608,Phonxai,Done ngeun,Dendrobium chryseum,10100
608035,6,Louangphabang,608,Phonxai,Done ngeun,Broussonetia papyrifera,9500
608035,6,Louangphabang,608,Phonxai,Done ngeun,Boehmeria sp,5050
608035,6,Louangphabang,608,Phonxai,Done ngeun,Papilionanthe teres,4040
