ID,Scientific_Name_Cleaned,Scientific_Genus,Scientific_Genus_GB,Vil_Code,sell,use,food,medicine,CHECK,Qty_sell,Qty_use,Qty_food,Qty_med,Inc_sell,Inc_use,Inc_food,Inc_medicine,No_HH,Unit,Qty_p_HH,Qty,PPU_LAK,PPU_USD,Income_USD,Time_Travel,Status_en,Status_rel,Status_abs,Reason_en,Forest,Riparian,bamboo,bush_fallow,upland_field,others,CHECK_2,Qty_For,Qty_Rip,Qty_Bam,Qty_Bfa,Qty_UpF,Qty_Oth,Inc_For,Inc_Rip,Inc_Bam,Inc_Bfa,Inc_UpF,Inc_Oth,For_sell_inc,For_use_inc,For_food_inc,For_med_inc,Rip_sell_inc,Rip_use_inc,Rip_food_inc,Rip_med_inc,bam_sell_inc,Bam_use_inc,Bam_food_inc,Bam_med_inc,Bfa_sell_inc,Bfa_use_inc,Bfa_food_inc,Bfa_med_inc,UpF_sell_inc,UpF_use_inc,UpF_food_inc,UpF_med_inc,Oth_sell_inc,Oth_use_inc,Oth_food_inc,Oth_med_inc
833,Worm of spondias cytherea,Worm,Worms,608100,1,0,1,0,2,130,0,130,0,406.25,0,406.25,0,52,????,5,260,25000,3.125,812.5,0,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,260,0,0,0,0,0,812.5,0,0,0,0,0,0,0,0,0,0,0,406.25,0,406.25,0,0,0,0,0,0,0,0,0,0,0,0,0
867,Worm of spondias cytherea,Worm,Worms,608105,1,0,1,0,2,175,0,175,0,503.125,0,503.125,0,70,????,5,350,23000,2.875,1006.25,0,Decrease,50,-50,NA,1,0,1,0,0,0,2,175,0,175,0,0,0,503.1,0,503.1,0,0,0,251.55,0,251.55,0,0,0,0,0,251.55,0,251.55,0,0,0,0,0,0,0,0,0,0,0,0,0
958,Worm of spondias cytherea,Worm,Worms,609006,1,0,1,0,2,240,0,240,0,1500,0,1500,0,96,????,5,480,50000,6.25,3000,60,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,480,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,1500,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0
1055,Worm of spondias cytherea,Worm,Worms,609009,1,0,1,0,2,2.5,0,2.5,0,7.8125,0,7.8125,0,5,????,1,5,25000,3.125,15.625,30,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,7.8,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,Worm of spondias cytherea,Worm,Worms,609014,1,0,1,0,2,10,0,10,0,62.5,0,62.5,0,10,????,2,20,50000,6.25,125,60,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,20,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,62.5,0,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1261,Worm of spondias cytherea,Worm,Worms,609015,1,0,0,1,2,50,0,0,50,187.5,0,0,187.5,20,????,5,100,30000,3.75,375,120,Decrease,50,-50,NA,0,0,1,0,0,0,1,0,0,100,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,187.5,0,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0
1366,Worm of spondias cytherea,Worm,Worms,609019,1,0,1,0,2,25,0,25,0,187.5,0,187.5,0,10,????,5,50,60000,7.5,375,30,Decrease,5,-5,NA,0,0,1,0,0,0,1,0,0,50,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,187.5,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1671,Worm of spondias cytherea,Worm,Worms,609026,1,0,1,0,2,30,0,30,0,187.5,0,187.5,0,15,????,4,60,50000,6.25,375,60,Stable,0,0,NA,0,0,1,0,0,0,1,0,0,60,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,187.5,0,187.5,0,0,0,0,0,0,0,0,0,0,0,0,0
1714,Worm of spondias cytherea,Worm,Worms,609029,1,0,1,0,2,25,0,25,0,156.25,0,156.25,0,10,????,5,50,50000,6.25,312.5,60,Stable,0,0,NA,0,1,0,0,0,0,1,0,50,0,0,0,0,0,312.5,0,0,0,0,0,0,0,0,156.25,0,156.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1866,Worm of spondias cytherea,Worm,Worms,609036,1,0,1,0,2,75,0,75,0,656.25,0,656.25,0,30,????,5,150,70000,8.75,1312.5,120,Decrease,90,-90,too much excavation,0,0,1,0,0,0,1,0,0,150,0,0,0,0,0,1312.5,0,0,0,0,0,0,0,0,0,0,0,656.25,0,656.25,0,0,0,0,0,0,0,0,0,0,0,0,0
